you
i
the
me
to
it
and
a
my
love
i'm
in
like
yeah
on
that
don't
your
so
be
just
oh
all
but
know
is
up
got
for
come
baby
now
no
this
what
we
take
of
it's
wanna
boy
bum
go
way
do
you're
with
out
get
one
can
feel
music
see
how
let
can't
na
if
make
when
work
at
'cause
life
want
stop
have
hard
where
never
why
girl
night
not
only
please
la
used
that's
ain't
need
away
more
too
say
here
we're
tell
back
better
right
ooh
heart
good
time
down
bright
gonna
money
been
give
are
was
they
i've
about
shine
won't
turn
survivor
ay
there
still
gone
diamond
eh
talk
from
said
nothing
think
around
into
mind
put
run
bitch
these
name
dj
even
brrap
y'all
move
always
really
who
care
ah
keep
hope
us
without
gotta
off
hold
beautiful
ya
he
man
i'll
american
woo
over
some
kiss
rihanna
could
feeling
mr
dum
sky
world
babe
what's
then
tonight
than
bad
nobody
cake
drive
diamonds
will
dance
california
her
silly
new
i'mma
as
ever
face
lie
throw
long
had
little
hurt
k
breathe
s
looking
play
late
loving
by
watch
light
sure
hey
learn
you'll
much
live
cause
inside
dirt
ella
stand
ready
drink
hear
show
knows
forever
him
thinking
every
hate
found
place
would
under
she
fuck
because
everything
lost
skin
reason
enough
close
something
someone
things
easy
home
m
losing
stay
there's
shit
mama
once
pon
going
king
eye
hands
let's
getting
cry
through
uh
dark
alive
oxygen
alone
ride
eyes
sex
thought
call
rum
wrong
may
came
leave
apart
again
rude
should
floor
rockin'
hopeless
two
last
best
everybody
shots
mean
brown
chris
day
america
affection
stupid
willing
wa
chest
left
die
must
high
tryna
another
broken
disturbia
amo
te
stars
break
pull
big
didn't
umbrella
other
sun
three
touch
'bout
understand
dream
ball
people
killin'
disease
stress
thousand
feels
look
goin'
trigger
pour
our
hand
end
we'll
done
shake
wishing
body
send
myself
wish
felt
goes
finally
amazing
an
maybe
days
fading
acting
o
treat
livin'
top
rehab
guess
refuse
escape
hit
room
hurts
needed
anymore
them
am
before
ner
told
his
chorus
try
mirror
same
rest
saying
gyal
today
'em
explode
bed
pay
sometimes
mine
standing
round
door
thing
heard
miles
start
you've
mi
raining
i'ma
shut
were
verse
knew
tellin'
trying
brand
party
gave
side
rise
shooting
though
well
seems
waiting
somebody
did
shot
burn
fall
sorry
hurting
between
took
together
okay
wow
takes
control
crazy
emergency
complicated
mistakes
t
peace
song
paper
old
club
owe
she's
nigga
ten
saw
first
clothes
both
happy
air
lose
brain
niggas
star
dome
lights
rhythm
help
wantin'
replay
de
we've
running
louis
making
ask
gon'
'til
leaving
moving
deep
shining
future
believe
dumb
might
hair
boom
i'd
station
ow
matter
tried
huh
act
nuh
its
rain
cuz'
longer
soul
option
person
behave
victim
chasin'
hoes
sitting
yayo
yes
everywhere
own
beat
waist
you'd
heartbeat
times
after
til
fight
story
guy
type
whats
white
sight
black
rollin
u
alarmed
fancy
each
dancing
sound
whenever
impress
e
v
outta
yuh
granted
rescue
boys
darling
handle
couldn't
haters
far
x2
lord
game
whatever
coming
drop
whole
while
asking
or
city
different
check
checked
blame
made
next
understands
command
doin'
pride
shinin'
beating
breath
find
push
smoke
smell
quite
tryin'
head
walk
swear
figure
enter
window
downtown
he's
central
makes
turned
started
keeps
beats
fire
chance
keys
distance
friend
wait
rock
ohh
ahhh
sleeping
1
photographs
tighter
falling
signs
jeans
heels
bar
calling
feelin'
luck
phone
forgot
suicide
hmm
five
bet
giddy
using
wrist
forget
thinkin'
means
test
twice
excite
whips
chains
bones
stones
sticks
perfectly
line
sweat
else
talkin'
grab
curtains
cut
house
outside
very
cheek
searching
point
hot
word
dem
gimme
happened
criminal
arm
reach
cool
crowd
front
behind
sleep
taste
fighting
soon
against
wake
has
part
stick
cars
fly
pictures
share
use
3
morning
2
doesn't
gets
pulling
ghost
